step 0: classification- train loss 0.0565, classification-val loss 0.0566
iter 89: loss 0.3522, time 8836.36ms, mfu 0.46%
iter 90: loss 0.3156, time 8838.73ms, mfu 0.46%
iter 91: loss 0.3981, time 8856.67ms, mfu 0.46%
iter 92: loss 0.4166, time 8954.90ms, mfu 0.46%
iter 93: loss 0.6955, time 8859.39ms, mfu 0.46%
iter 94: loss 0.2809, time 8858.63ms, mfu 0.46%
iter 95: loss 0.2539, time 8844.32ms, mfu 0.46%
iter 96: loss 0.9371, time 8859.22ms, mfu 0.46%
iter 97: loss 0.3236, time 8928.30ms, mfu 0.46%
iter 98: loss 0.2616, time 8902.44ms, mfu 0.46%
iter 99: loss 0.4836, time 8874.31ms, mfu 0.46%
iter 100: loss 0.4376, time 8879.51ms, mfu 0.46%
iter 101: loss 0.2341, time 8853.85ms, mfu 0.46%
iter 102: loss 0.3238, time 8882.98ms, mfu 0.46%
iter 103: loss 0.2772, time 8973.33ms, mfu 0.46%
iter 104: loss 0.3127, time 8869.04ms, mfu 0.46%
iter 105: loss 0.5928, time 8864.93ms, mfu 0.46%
iter 106: loss 0.2305, time 8857.80ms, mfu 0.46%
iter 107: loss 0.2576, time 8859.25ms, mfu 0.46%
iter 108: loss 0.3182, time 8971.06ms, mfu 0.46%
iter 109: loss 0.3505, time 8866.49ms, mfu 0.46%
iter 110: loss 0.5506, time 8859.06ms, mfu 0.46%
iter 111: loss 0.1665, time 8861.25ms, mfu 0.46%
iter 112: loss 0.8016, time 8875.01ms, mfu 0.46%
iter 113: loss 0.3980, time 8855.52ms, mfu 0.46%
iter 114: loss 0.3650, time 8976.60ms, mfu 0.46%
iter 115: loss 0.4967, time 8870.93ms, mfu 0.46%
iter 116: loss 0.4139, time 8874.48ms, mfu 0.46%
iter 117: loss 0.5754, time 8855.40ms, mfu 0.46%
iter 118: loss 0.1769, time 8873.52ms, mfu 0.46%
iter 119: loss 0.7964, time 8986.23ms, mfu 0.46%
iter 120: loss 0.1972, time 8853.63ms, mfu 0.46%
iter 121: loss 0.4095, time 8876.17ms, mfu 0.46%
iter 122: loss 0.2907, time 8861.32ms, mfu 0.46%
iter 123: loss 0.1742, time 8875.56ms, mfu 0.46%
iter 124: loss 0.4092, time 8861.24ms, mfu 0.46%
iter 125: loss 0.5641, time 8971.00ms, mfu 0.46%
iter 126: loss 0.1550, time 8859.38ms, mfu 0.46%
iter 127: loss 0.1347, time 8856.08ms, mfu 0.46%
iter 128: loss 0.3053, time 8857.52ms, mfu 0.46%
iter 129: loss 0.5663, time 8879.33ms, mfu 0.46%
iter 130: loss 0.2234, time 8929.65ms, mfu 0.46%
iter 131: loss 0.6732, time 8874.90ms, mfu 0.46%
iter 132: loss 0.2485, time 8865.06ms, mfu 0.46%
iter 133: loss 0.5175, time 8859.97ms, mfu 0.46%
iter 134: loss 0.1253, time 8884.31ms, mfu 0.46%
iter 135: loss 0.3016, time 8864.26ms, mfu 0.46%
iter 136: loss 0.2942, time 9003.14ms, mfu 0.46%
iter 137: loss 0.2269, time 8883.29ms, mfu 0.46%
iter 138: loss 0.0881, time 8874.16ms, mfu 0.46%
iter 139: loss 0.5962, time 8868.81ms, mfu 0.46%
iter 140: loss 0.1536, time 8884.24ms, mfu 0.46%
iter 141: loss 0.2122, time 9005.37ms, mfu 0.46%
iter 142: loss 0.4757, time 8874.85ms, mfu 0.46%
iter 143: loss 0.0930, time 8875.62ms, mfu 0.46%
iter 144: loss 0.3377, time 8866.74ms, mfu 0.46%
iter 145: loss 0.6077, time 8863.47ms, mfu 0.46%
iter 146: loss 0.4141, time 8933.00ms, mfu 0.46%
iter 147: loss 0.1337, time 8910.95ms, mfu 0.46%
iter 148: loss 0.4960, time 8877.22ms, mfu 0.46%
iter 149: loss 0.2925, time 8873.22ms, mfu 0.46%
iter 150: loss 0.1027, time 8856.92ms, mfu 0.46%
iter 151: loss 0.1302, time 8876.10ms, mfu 0.46%
iter 152: loss 0.0902, time 8983.77ms, mfu 0.46%
iter 153: loss 0.1380, time 8875.48ms, mfu 0.46%
iter 154: loss 0.2278, time 8882.64ms, mfu 0.46%
iter 155: loss 0.1343, time 8873.06ms, mfu 0.46%
iter 156: loss 0.2042, time 8872.97ms, mfu 0.46%
iter 157: loss 0.0411, time 8979.40ms, mfu 0.46%
Traceback (most recent call last):
  File "C:\Users\delfi\Desktop\MMI\DI725\DI725-main\DI725-main\assignment_1\train.py", line 369, in <module>
    X, Y = X.to(device), Y.to(device)
           ^^^^^^^^^^^^
KeyboardInterrupt
