step 0: classification- train loss 0.0565, classification-val loss 0.0566
iter 102: loss 0.3238, time 8865.54ms, mfu 0.46%
iter 103: loss 0.2772, time 8960.24ms, mfu 0.46%
iter 104: loss 0.3127, time 8851.22ms, mfu 0.46%
iter 105: loss 0.5928, time 8858.80ms, mfu 0.46%
iter 106: loss 0.2305, time 8861.81ms, mfu 0.46%
iter 107: loss 0.2576, time 8850.57ms, mfu 0.46%
iter 108: loss 0.3182, time 8975.94ms, mfu 0.46%
iter 109: loss 0.3505, time 8857.56ms, mfu 0.46%
iter 110: loss 0.5506, time 8850.63ms, mfu 0.46%
iter 111: loss 0.1665, time 8848.85ms, mfu 0.46%
iter 112: loss 0.8016, time 8870.85ms, mfu 0.46%
iter 113: loss 0.3980, time 8850.99ms, mfu 0.46%
iter 114: loss 0.3650, time 8961.04ms, mfu 0.46%
iter 115: loss 0.4967, time 8863.57ms, mfu 0.46%
iter 116: loss 0.4139, time 8862.83ms, mfu 0.46%
iter 117: loss 0.5754, time 8843.98ms, mfu 0.46%
iter 118: loss 0.1769, time 8850.23ms, mfu 0.46%
iter 119: loss 0.7964, time 8974.90ms, mfu 0.46%
iter 120: loss 0.1972, time 8851.14ms, mfu 0.46%
iter 121: loss 0.4095, time 8862.52ms, mfu 0.46%
iter 122: loss 0.2907, time 8843.26ms, mfu 0.46%
iter 123: loss 0.1742, time 8865.96ms, mfu 0.46%
iter 124: loss 0.4092, time 8854.55ms, mfu 0.46%
iter 125: loss 0.5641, time 8961.17ms, mfu 0.46%
iter 126: loss 0.1550, time 8855.24ms, mfu 0.46%
iter 127: loss 0.1347, time 8858.72ms, mfu 0.46%
iter 128: loss 0.3053, time 8853.47ms, mfu 0.46%
iter 129: loss 0.5663, time 8839.23ms, mfu 0.46%
iter 130: loss 0.2234, time 8975.26ms, mfu 0.46%
iter 131: loss 0.6732, time 8863.65ms, mfu 0.46%
iter 132: loss 0.2485, time 8843.67ms, mfu 0.46%
iter 133: loss 0.5175, time 8848.53ms, mfu 0.46%
iter 134: loss 0.1253, time 8866.48ms, mfu 0.46%
iter 135: loss 0.3016, time 8849.71ms, mfu 0.46%
iter 136: loss 0.2942, time 8971.17ms, mfu 0.46%
iter 137: loss 0.2269, time 8852.50ms, mfu 0.46%
iter 138: loss 0.0881, time 8857.40ms, mfu 0.46%
iter 139: loss 0.5962, time 8852.97ms, mfu 0.46%
iter 140: loss 0.1536, time 8853.50ms, mfu 0.46%
iter 141: loss 0.2122, time 8960.06ms, mfu 0.46%
iter 142: loss 0.4757, time 8859.90ms, mfu 0.46%
iter 143: loss 0.0930, time 8856.32ms, mfu 0.46%
iter 144: loss 0.3377, time 8857.81ms, mfu 0.46%
iter 145: loss 0.6077, time 8851.17ms, mfu 0.46%
iter 146: loss 0.4141, time 8922.92ms, mfu 0.46%
iter 147: loss 0.1337, time 8893.68ms, mfu 0.46%
iter 148: loss 0.4960, time 8855.42ms, mfu 0.46%
iter 149: loss 0.2925, time 8840.71ms, mfu 0.46%
iter 150: loss 0.1027, time 8849.69ms, mfu 0.46%
iter 151: loss 0.1302, time 8857.58ms, mfu 0.46%
iter 152: loss 0.0902, time 8966.91ms, mfu 0.46%
iter 153: loss 0.1380, time 8844.29ms, mfu 0.46%
iter 154: loss 0.2278, time 8848.46ms, mfu 0.46%
iter 155: loss 0.1343, time 8864.27ms, mfu 0.46%
iter 156: loss 0.2042, time 8842.12ms, mfu 0.46%
iter 157: loss 0.0411, time 8963.01ms, mfu 0.46%
iter 158: loss 0.1311, time 8853.05ms, mfu 0.46%
iter 159: loss 0.7737, time 8864.72ms, mfu 0.46%
iter 160: loss 0.0516, time 8851.82ms, mfu 0.46%
iter 161: loss 0.3065, time 8848.98ms, mfu 0.46%
iter 162: loss 0.5436, time 8850.46ms, mfu 0.46%
iter 163: loss 0.1060, time 8959.89ms, mfu 0.46%
iter 164: loss 0.0775, time 8866.08ms, mfu 0.46%
iter 165: loss 0.1545, time 8840.22ms, mfu 0.46%
iter 166: loss 0.1866, time 8849.61ms, mfu 0.46%
iter 167: loss 0.3603, time 8855.89ms, mfu 0.46%
iter 168: loss 0.1092, time 8960.39ms, mfu 0.46%
iter 169: loss 0.2521, time 8850.09ms, mfu 0.46%
iter 170: loss 0.2534, time 8849.88ms, mfu 0.46%
iter 171: loss 0.1275, time 8857.16ms, mfu 0.46%
iter 172: loss 0.0741, time 8849.71ms, mfu 0.46%
iter 173: loss 0.0358, time 8849.10ms, mfu 0.46%
iter 174: loss 0.0585, time 8960.07ms, mfu 0.46%
iter 175: loss 0.4460, time 8839.08ms, mfu 0.46%
iter 176: loss 0.0457, time 8850.59ms, mfu 0.46%
iter 177: loss 0.0895, time 8866.99ms, mfu 0.46%
iter 178: loss 0.0888, time 8839.05ms, mfu 0.46%
iter 179: loss 0.0393, time 8960.28ms, mfu 0.46%
iter 180: loss 0.2325, time 8858.11ms, mfu 0.46%
iter 181: loss 0.3575, time 8842.32ms, mfu 0.46%
iter 182: loss 0.1017, time 8856.77ms, mfu 0.46%
iter 183: loss 0.0683, time 8848.56ms, mfu 0.46%
iter 184: loss 0.0109, time 8851.76ms, mfu 0.46%
iter 185: loss 0.0907, time 8959.37ms, mfu 0.46%
iter 186: loss 0.2537, time 8853.38ms, mfu 0.46%
iter 187: loss 0.0511, time 8836.38ms, mfu 0.46%
iter 188: loss 0.0315, time 8849.91ms, mfu 0.46%
iter 189: loss 0.1464, time 8855.27ms, mfu 0.46%
iter 190: loss 0.0203, time 8947.38ms, mfu 0.46%
iter 191: loss 0.0170, time 8850.90ms, mfu 0.46%
iter 192: loss 0.0613, time 8847.68ms, mfu 0.46%
iter 193: loss 0.0435, time 8857.18ms, mfu 0.46%
iter 194: loss 0.1624, time 8831.86ms, mfu 0.46%
iter 195: loss 0.3352, time 8914.34ms, mfu 0.46%
iter 196: loss 0.0158, time 8897.04ms, mfu 0.46%
iter 197: loss 0.1164, time 8854.79ms, mfu 0.46%
iter 198: loss 0.0272, time 8849.16ms, mfu 0.46%
iter 199: loss 0.2074, time 8851.75ms, mfu 0.46%
iter 200: loss 0.0173, time 8851.23ms, mfu 0.46%
iter 201: loss 0.0434, time 8961.43ms, mfu 0.46%
iter 202: loss 0.0107, time 8837.79ms, mfu 0.46%
iter 203: loss 0.0166, time 8849.03ms, mfu 0.46%
iter 204: loss 0.0506, time 8866.10ms, mfu 0.46%
iter 205: loss 0.0412, time 8854.95ms, mfu 0.46%
iter 206: loss 0.0068, time 8945.30ms, mfu 0.46%
iter 207: loss 0.1137, time 8851.80ms, mfu 0.46%
iter 208: loss 0.0666, time 8864.68ms, mfu 0.46%
iter 209: loss 0.2217, time 8928.22ms, mfu 0.46%
iter 210: loss 0.0394, time 8858.20ms, mfu 0.46%
iter 211: loss 0.0202, time 8861.82ms, mfu 0.46%
iter 212: loss 0.0096, time 8976.55ms, mfu 0.46%
iter 213: loss 0.0162, time 8847.28ms, mfu 0.46%
iter 214: loss 0.0485, time 8860.57ms, mfu 0.46%
iter 215: loss 0.3841, time 8870.99ms, mfu 0.46%
iter 216: loss 0.0244, time 8855.30ms, mfu 0.46%
iter 217: loss 0.1109, time 8954.65ms, mfu 0.46%
iter 218: loss 0.0198, time 8862.73ms, mfu 0.46%
iter 219: loss 0.1061, time 8868.49ms, mfu 0.46%
iter 220: loss 0.0122, time 8852.59ms, mfu 0.46%
iter 221: loss 0.0028, time 8852.44ms, mfu 0.46%
