step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 102: loss 0.2086, time 3148.12ms, mfu 0.45%
iter 103: loss 0.2469, time 3199.95ms, mfu 0.45%
iter 104: loss 0.2085, time 3146.33ms, mfu 0.45%
iter 105: loss 0.2815, time 3153.28ms, mfu 0.45%
iter 106: loss 0.3931, time 3144.64ms, mfu 0.45%
iter 107: loss 0.3554, time 3149.58ms, mfu 0.45%
iter 108: loss 0.4424, time 3196.97ms, mfu 0.45%
iter 109: loss 0.2702, time 3147.24ms, mfu 0.45%
iter 110: loss 0.1419, time 3149.56ms, mfu 0.45%
iter 111: loss 0.7389, time 3160.02ms, mfu 0.45%
iter 112: loss 0.5668, time 3151.75ms, mfu 0.45%
iter 113: loss 0.2476, time 3152.03ms, mfu 0.45%
iter 114: loss 0.2411, time 3181.74ms, mfu 0.45%
iter 115: loss 0.2643, time 3159.83ms, mfu 0.45%
iter 116: loss 0.4808, time 3149.51ms, mfu 0.45%
iter 117: loss 0.2033, time 3155.40ms, mfu 0.45%
iter 118: loss 0.1676, time 3151.75ms, mfu 0.45%
iter 119: loss 0.2442, time 3186.63ms, mfu 0.45%
iter 120: loss 0.1631, time 3148.58ms, mfu 0.45%
iter 121: loss 0.0665, time 3160.19ms, mfu 0.45%
iter 122: loss 0.1392, time 3153.52ms, mfu 0.45%
iter 123: loss 0.1382, time 3148.96ms, mfu 0.45%
iter 124: loss 0.2951, time 3165.36ms, mfu 0.45%
iter 125: loss 0.2414, time 3187.20ms, mfu 0.45%
iter 126: loss 0.0882, time 3169.63ms, mfu 0.45%
iter 127: loss 0.2674, time 3174.73ms, mfu 0.45%
iter 128: loss 0.1351, time 3164.86ms, mfu 0.45%
iter 129: loss 0.4213, time 3185.71ms, mfu 0.45%
iter 130: loss 0.2291, time 3221.79ms, mfu 0.45%
iter 131: loss 0.4571, time 3183.72ms, mfu 0.45%
iter 132: loss 0.1163, time 3190.38ms, mfu 0.45%
iter 133: loss 0.2108, time 3183.58ms, mfu 0.45%
iter 134: loss 0.5044, time 3186.38ms, mfu 0.45%
iter 135: loss 0.5655, time 3195.55ms, mfu 0.45%
iter 136: loss 0.5719, time 3223.42ms, mfu 0.44%
iter 137: loss 0.1748, time 3202.84ms, mfu 0.44%
iter 138: loss 0.4462, time 3193.43ms, mfu 0.44%
iter 139: loss 0.5059, time 3194.85ms, mfu 0.44%
